Nr	Kommunenavn	Adm.senter	Fylke	Folketall	Areal
5620	Nordkapp	Honningsvåg	Finnmark	2951	92659
5626	Gamvik	Mehamn	Finnmark	1070	141655
5618	Måsøy	Havøysund	Finnmark	1113	113719
5630	Berlevåg	Berlevåg	Finnmark	892	112177
5624	Lebesby	Kjøllefjord	Finnmark	1215	34605
5632	Båtsfjord	Båtsfjord	Finnmark	2113	143512
5603	Hammerfest	Hammerfest	Finnmark	11338	269281
5616	Hasvik	Breivikbotn	Finnmark	979	55543
5634	Vardø	Vardø	Finnmark	1972	60085
5628	Tana	Tanabru	Finnmark	2807	405128
5614	Loppa	Øksfjord	Finnmark	864	68927
5622	Porsanger	Lakselv	Finnmark	3889	487429
5636	Nesseby	Varangerbotn	Finnmark	859	143707
5607	Vadsø	Vadsø	Finnmark	5807	125806
5542	Skjervøy	Skjervøy	Troms	2794	474
5534	Karlsøy	Hansnes	Troms	2237	10916
5601	Alta	Alta	Finnmark	21708	384882
5546	Kvænangen	Burfjord	Troms	1157	210968
5544	Nordreisa	Storslett	Troms	4794	343777
5605	Sør-Varanger	Kirkenes	Finnmark	10063	397142
5501	Tromsø	Tromsø	Troms	78745	25208
5536	Lyngen	Lyngseidet	Troms	2743	8127
5540	Kåfjord	Olderdalen	Troms	1974	99115
5610	Karasjok	Karasjok	Finnmark	2565	545294
5538	Storfjord	Hatteng	Troms	1825	154273
5530	Senja	Finnsnes	Troms	14894	194609
5532	Balsfjord	Storsteinnes	Troms	5571	149699
1871	Andøy	Andenes	Nordland	4553	65618
5526	Sørreisa	Sørreisa	Troms	3485	36297
5612	Kautokeino	Kautokeino	Finnmark	2848	970735
5524	Målselv	Moen	Troms	6714	332445
5528	Dyrøy	Brøstadbotn	Troms	1073	28864
1868	Øksnes	Myre	Nordland	4569	3196
5522	Salangen	Sjøvegan	Troms	2069	45807
5520	Bardu	Setermoen	Troms	3986	270389
5514	Ibestad	Hamnvik	Troms	1311	24115
5503	Harstad	Harstad	Troms	25056	44527
5518	Lavangen	Tennevoll	Troms	986	30162
5510	Kvæfjord	Borkenes	Troms	2845	51262
1870	Sortland	Sortland	Nordland	10618	72194
5516	Gratangen	Årstein	Troms	1070	31276
1867	Bø	Straume	Nordland	2634	24672
5512	Tjeldsund	Evenskjer	Troms	4281	81441
1866	Hadsel	Stokmarknes	Nordland	8236	56661
1853	Evenes	Bogen	Nordland	1330	25279
1851	Lødingen	Lødingen	Nordland	2060	52741
1806	Narvik	Narvik	Nordland	21580	34322
1865	Vågan	Svolvær	Nordland	9793	47918
1860	Vestvågøy	Leknes	Nordland	11619	42429
1859	Flakstad	Ramberg	Nordland	1229	17854
1875	Hamarøy	Oppeid	Nordland	2729	202044
1874	Moskenes	Reine	Nordland	954	11878
1848	Steigen	Leinesfjord	Nordland	2672	100926
1857	Værøy	Sørland	Nordland	683	1864
1856	Røst	Røstlandet	Nordland	460	1011
1845	Sørfold	Straumen	Nordland	1858	163741
1804	Bodø	Bodø	Nordland	53712	13953
1841	Fauske	Fauske	Nordland	9827	119698
1838	Gildeskål	Inndyr	Nordland	1958	6647
1840	Saltdal	Rognan	Nordland	4880	221619
1839	Beiarn	Moldjord	Nordland	1062	122231
1837	Meløy	Ørnes	Nordland	6180	87383
1836	Rødøy	Vågaholmen	Nordland	1139	71129
1835	Træna	Husøya	Nordland	442	1654
1834	Lurøy	Lurøy	Nordland	1886	26516
1833	Rana	MoiRana	Nordland	25994	446019
1828	Nesna	Nesna	Nordland	1808	18319
1827	Dønna	Solfjellsjøen	Nordland	1427	19257
1832	Hemnes	Korgen	Nordland	4485	15895
1822	Leirfjord	Leland	Nordland	2352	46526
1818	Herøy	Silvalen	Nordland	1842	6446
1820	Alstahaug	Sandnessjøen	Nordland	7421	18816
1824	Vefsn	Mosjøen	Nordland	13469	19294
1816	Vevelstad	Vevelstad	Nordland	480	53904
1815	Vega	Gladstad	Nordland	1208	16479
1826	Hattfjelldal	Hattfjelldal	Nordland	1284	268435
1813	Brønnøy	Brønnøysund	Nordland	7826	104603
1825	Grane	Trofors	Nordland	1447	200411
1812	Sømna	Vik	Nordland	1976	19519
1811	Bindal	Terråk	Nordland	1399	126607
5052	Leka	Leknes	Trøndelag	604	11012
5060	Nærøysund	Rørvik	Trøndelag	9968	13462
5043	Røyrvik	Røyrvik	Trøndelag	423	158474
5044	Namsskogan	Namsskogan	Trøndelag	810	141715
5046	Høylandet	Høylandet	Trøndelag	1222	75468
5049	Flatanger	Lauvsnes	Trøndelag	1116	45871
5047	Overhalla	Ranemsletta	Trøndelag	3924	73005
5045	Grong	Grong	Trøndelag	2322	113616
5007	Namsos	Namsos	Trøndelag	15083	213236
5042	Lierne	Lierne	Trøndelag	1301	29617
5020	Osen	Steinsdalen	Trøndelag	898	3871
5041	Snåsa	Snåsa	Trøndelag	2114	234266
5058	Åfjord	Årnes	Trøndelag	4339	132943
5006	Steinkjer	Steinkjer	Trøndelag	24032	212206
5053	Inderøy	Straumen	Trøndelag	6938	36567
5038	Verdal	Verdalsøra	Trøndelag	15193	154781
5014	Frøya	Sistranda	Trøndelag	5453	24132
5057	Ørland	Brekstad	Trøndelag	10522	45715
5037	Levanger	Levanger	Trøndelag	20574	6458
5054	IndreFosen	Årnset	Trøndelag	10023	109597
5036	Frosta	Frosta	Trøndelag	2645	7632
5056	Hitra	Fillan	Trøndelag	5323	75589
5035	Stjørdal	Stjørdalshalsen	Trøndelag	24717	93827
5034	Meråker	Midtbygda	Trøndelag	2454	127394
5031	Malvik	Hommelvik	Trøndelag	14783	16843
1573	Smøla	Hopen	MøreogRomsdal	2159	27191
5001	Trondheim	Trondheim	Trøndelag	214565	5286
5029	Skaun	Børsa	Trøndelag	8484	2242
5059	Orkland	Orkanger	Trøndelag	18793	190628
1576	Aure	Aure	MøreogRomsdal	3408	64128
5055	Heim	Kyrksæterøra	Trøndelag	6093	102455
5032	Selbu	Mebond	Trøndelag	4216	123484
5028	Melhus	Melhus	Trøndelag	17560	69441
1505	Kristiansund	Kristiansund	MøreogRomsdal	24404	8744
5061	Rindal	Rindal	Trøndelag	1958	63194
1554	Averøy	Bruhagen	MøreogRomsdal	5955	1757
1560	Tingvoll	Tingvoll	MøreogRomsdal	3041	33681
5033	Tydal	Ås	Trøndelag	773	132864
1566	Surnadal	Skei	MøreogRomsdal	5953	136603
5027	MidtreGauldal	Støren	Trøndelag	6140	186043
1557	Gjemnes	Batnfjordsøra	MøreogRomsdal	2700	38163
1579	Hustadvika	Elnesvågen	MøreogRomsdal	13437	52193
5026	Holtålen	Ålen	Trøndelag	2035	120958
5022	Rennebu	Berkåk	Trøndelag	2484	94795
1547	Aukra	Falkhytta	MøreogRomsdal	3678	6066
1506	Molde	Molde	MøreogRomsdal	32816	150337
1563	Sunndal	Sunndalsøra	MøreogRomsdal	7227	171337
5021	Oppdal	Oppdal	Trøndelag	7389	227411
5025	Røros	Røros	Trøndelag	5685	195653
1535	Vestnes	Vestnes	MøreogRomsdal	7147	40459
1580	Haram	Brattvåg	MøreogRomsdal	9357	26119
